Value,Time of DA,Prime? (According to DA),Time of RA,Prime? (According to RA)
10000000000000819,1714113600,YES,2012600,YES
10000000000000820,34300,NO,480300,NO
10000000000000821,54700,NO,93200,NO
10000000000000822,5100,NO,153700,NO
10000000000000823,225900,NO,301600,NO
10000000000000824,19500,NO,205900,NO
10000000000000825,11500,NO,53300,NO
10000000000000826,2500,NO,129000,NO
10000000000000827,9300,NO,107100,NO
10000000000000828,2600,NO,102800,NO
10000000000000829,11700,NO,55100,NO
10000000000000830,3700,NO,84600,NO
10000000000000831,1247200,NO,80600,NO
10000000000000832,2200,NO,108800,NO
10000000000000833,70000,NO,84900,NO
10000000000000834,2200,NO,255400,NO
10000000000000835,10900,NO,58500,NO
10000000000000836,2200,NO,96300,NO
10000000000000837,21900,NO,74200,NO
10000000000000838,2100,NO,84400,NO
10000000000000839,11900,NO,50900,NO
10000000000000840,2200,NO,145100,NO
10000000000000841,13900,NO,81900,NO
10000000000000842,2100,NO,90100,NO
10000000000000843,10600,NO,48200,NO
10000000000000844,2400,NO,316500,NO
10000000000000845,20600,NO,91000,NO
10000000000000846,2300,NO,93800,NO
10000000000000847,14000,NO,52500,NO
10000000000000848,1300,NO,125400,NO
10000000000000849,18800,NO,59800,NO
10000000000000850,2000,NO,119000,NO
10000000000000851,10300,NO,79800,NO
10000000000000852,1400,NO,85300,NO
10000000000000853,51800,NO,58600,NO
10000000000000854,1700,NO,77500,NO
10000000000000855,8600,NO,66500,NO
10000000000000856,2100,NO,91500,NO
10000000000000857,10400,NO,50400,NO
10000000000000858,1800,NO,78300,NO
10000000000000859,279100,NO,61300,NO
10000000000000860,2000,NO,138200,NO
10000000000000861,2102175600,YES,376400,YES
10000000000000862,35500,NO,106800,NO
10000000000000863,38500,NO,51800,NO
10000000000000864,1000,NO,133000,NO
10000000000000865,10600,NO,55100,NO
10000000000000866,1000,NO,106200,NO
10000000000000867,11100,NO,65100,NO
10000000000000868,1000,NO,85700,NO
10000000000000869,9400,NO,43800,NO
10000000000000870,700,NO,70900,NO
10000000000000871,9700,NO,62000,NO
10000000000000872,1000,NO,96300,NO
10000000000000873,932200,NO,59200,NO
10000000000000874,600,NO,90300,NO
10000000000000875,7100,NO,52500,NO
10000000000000876,600,NO,73800,NO
10000000000000877,1347400,NO,49900,NO
10000000000000878,600,NO,63400,NO
10000000000000879,9900,NO,769500,NO
10000000000000880,1100,NO,118900,NO
10000000000000881,9400,NO,51800,NO
10000000000000882,1100,NO,140700,NO
10000000000000883,17000,NO,48500,NO
10000000000000884,1100,NO,81500,NO
10000000000000885,14800,NO,65200,NO
10000000000000886,1100,NO,92700,NO
10000000000000887,9500,NO,64600,NO
10000000000000888,1100,NO,97100,NO
10000000000000889,9500,NO,46100,NO
10000000000000890,700,NO,74800,NO
10000000000000891,37500,NO,40200,NO
10000000000000892,1100,NO,77300,NO
10000000000000893,9400,NO,44500,NO
10000000000000894,1200,NO,180500,NO
10000000000000895,20100,NO,50500,NO
10000000000000896,1100,NO,92800,NO
10000000000000897,1813520700,YES,296500,YES
10000000000000898,1400,NO,103000,NO
10000000000000899,10000,NO,35900,NO
1E+16,1100,NO,80000,NO
10000000000000901,9600,NO,39900,NO
10000000000000902,800,NO,239200,NO
10000000000000903,13800,NO,41300,NO
10000000000000904,900,NO,61900,NO
10000000000000905,10100,NO,29800,NO
10000000000000906,1400,NO,103000,NO
10000000000000907,10300,NO,26000,NO
10000000000000908,1100,NO,70400,NO
10000000000000909,1851722200,YES,168900,YES
10000000000000910,1400,NO,591800,NO
10000000000000911,11200,NO,35800,NO
10000000000000912,500,NO,48600,NO
10000000000000913,11300,NO,24200,NO
10000000000000914,600,NO,42800,NO
10000000000000915,8500,NO,20100,NO
10000000000000916,1100,NO,45000,NO
10000000000000917,9700,NO,21200,NO
10000000000000918,1000,NO,74900,NO
10000000000000919,142300,NO,23700,NO
10000000000000920,700,NO,46900,NO
10000000000000921,122500,NO,31900,NO
10000000000000922,1000,NO,46700,NO
10000000000000923,8000,NO,18000,NO
10000000000000924,1000,NO,58400,NO
10000000000000925,6800,NO,18200,NO
10000000000000926,700,NO,38100,NO
10000000000000927,6700,NO,16300,NO
10000000000000928,600,NO,48400,NO
10000000000000929,9200,NO,32600,NO
10000000000000930,700,NO,56400,NO
10000000000000931,1849544300,YES,100500,YES
10000000000000932,2500,NO,112000,NO
10000000000000933,24900,NO,23600,NO
10000000000000934,1100,NO,94100,NO
10000000000000935,18400,NO,23600,NO
10000000000000936,700,NO,75100,NO
10000000000000937,46868300,NO,45900,NO
10000000000000938,1200,NO,83300,NO
10000000000000939,10900,NO,18200,NO
10000000000000940,1300,NO,56700,NO
10000000000000941,11200,NO,19900,NO
10000000000000942,1100,NO,57800,NO
10000000000000943,15900,NO,22700,NO
10000000000000944,1300,NO,52100,NO
10000000000000945,8900,NO,17300,NO
10000000000000946,800,NO,37800,NO
10000000000000947,9100,NO,21300,NO
10000000000000948,800,NO,43400,NO
10000000000000949,1790718000,YES,122300,YES
10000000000000950,1600,NO,58300,NO
10000000000000951,54200,NO,65800,NO
10000000000000952,800,NO,45100,NO
10000000000000953,6100,NO,49900,NO
10000000000000954,500,NO,64400,NO
10000000000000955,6800,NO,35900,NO
10000000000000956,700,NO,103800,NO
10000000000000957,2042526200,YES,80500,YES
10000000000000958,900,NO,37600,NO
10000000000000959,11000,NO,15400,NO
10000000000000960,1000,NO,51700,NO
10000000000000961,25600,NO,16700,NO
10000000000000962,900,NO,38000,NO
10000000000000963,8500,NO,29400,NO
10000000000000964,900,NO,36200,NO
10000000000000965,6600,NO,14100,NO
10000000000000966,900,NO,225900,NO
10000000000000967,8000,NO,24100,NO
10000000000000968,900,NO,37400,NO
10000000000000969,7800,NO,18500,NO
10000000000000970,900,NO,38100,NO
10000000000000971,6200,NO,16100,NO
10000000000000972,600,NO,278600,NO
10000000000000973,10860900,NO,21200,NO
10000000000000974,1200,NO,37200,NO
10000000000000975,8300,NO,16400,NO
10000000000000976,900,NO,38300,NO
10000000000000977,7700,NO,15900,NO
10000000000000978,900,NO,38600,NO
10000000000000979,8400,NO,16700,NO
10000000000000980,600,NO,67900,NO
10000000000000981,133100,NO,17200,NO
10000000000000982,600,NO,29700,NO
10000000000000983,8000,NO,30200,NO
10000000000000984,1100,NO,1671100,NO
10000000000000985,9700,NO,19600,NO
10000000000000986,1000,NO,73500,NO
10000000000000987,24600,NO,13200,NO
10000000000000988,700,NO,31300,NO
10000000000000989,8000,NO,15300,NO
10000000000000990,500,NO,37000,NO
10000000000000991,1524393200,YES,98600,YES
10000000000000992,1500,NO,57700,NO
10000000000000993,13600,NO,17800,NO
10000000000000994,400,NO,33400,NO
10000000000000995,9700,NO,13700,NO
10000000000000996,1000,NO,49300,NO
10000000000000997,7700,NO,13200,NO
10000000000000998,1000,NO,36800,NO
10000000000000999,8800,NO,13600,NO
1E+16,900,NO,36500,NO
10000000000001001,6300,NO,11000,NO
10000000000001002,1000,NO,50100,NO
10000000000001003,8500,NO,42400,NO
10000000000001004,900,NO,35800,NO
10000000000001005,8100,NO,22300,NO
10000000000001006,900,NO,33900,NO
10000000000001007,8300,NO,19300,NO
10000000000001008,900,NO,46700,NO
10000000000001009,9600,NO,11000,NO
10000000000001010,900,NO,28300,NO
10000000000001011,8000,NO,34000,NO
10000000000001012,600,NO,50200,NO
10000000000001013,7200,NO,11000,NO
10000000000001014,18700,NO,34200,NO
10000000000001015,7900,NO,11200,NO
10000000000001016,1000,NO,46600,NO
10000000000001017,73800,NO,11400,NO
10000000000001018,400,NO,23900,NO
10000000000001019,8100,NO,11100,NO
10000000000001020,900,NO,29500,NO
10000000000001021,24300,NO,30100,NO
10000000000001022,900,NO,26200,NO
10000000000001023,6255700,NO,39200,NO
10000000000001024,1500,NO,43700,NO
10000000000001025,10700,NO,11400,NO
10000000000001026,900,NO,27400,NO
10000000000001027,1174959200,NO,35400,NO
10000000000001028,1300,NO,45200,NO
10000000000001029,1889574100,YES,76300,YES
